"CBLS County-level Summary Data for MO, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
175,Randolph County,351,18.6602870813397%,11,1,10740,3567,15.9999996423721%,1881
177,Ray County,241,12.791932059448%,3,0,9371,2390,10.9999999403954%,1884
179,Reynolds County,70,15.2505446623094%,2,1,3759,618,31.0000002384186%,459
181,Ripley County,285,29.0816326530612%,2,0,6392,988,28.0000001192093%,980
183,St. Charles County,1783,6.86482116043584%,4,3,105514,4981,5.99999986588955%,25973
185,St. Clair County,196,32.1311475409836%,3,1,5205,1500,31.0000002384186%,610
187,St. Francois County,958,23.2693709011416%,40,16,24449,5417,23.0000004172325%,4117
189,St. Louis County,13749,17.7139028821006%,132,81,423749,77886,10.0000001490116%,77617
195,Saline County,530,29.4444444444444%,11,4,10019,3479,18.0000007152557%,1800
197,Schuyler County,118,38.6885245901639%,2,0,2027,923,25.9999990463257%,305
199,Scotland County,89,20.1814058956916%,3,1,2292,1107,27.0000010728836%,441
201,Scott County,866,24.5534448539836%,0,1,16951,3657,28.0000001192093%,3527
203,Shannon County,85,14.2378559463987%,0,0,3862,785,37.0000004768372%,597
205,Shelby County,201,43.3189655172414%,1,0,3245,1426,28.999999165535%,464
207,Stoddard County,474,23.0544747081712%,0,1,13221,2515,25.9999990463257%,2056
209,Stone County,255,13.6729222520107%,0,0,16241,1403,20.0000002980232%,1865
211,Sullivan County,235,38.3360522022839%,0,1,3364,1527,23.0000004172325%,613
213,Taney County,350,12.5089349535382%,3,2,19688,1274,20.0000002980232%,2798
215,Texas County,166,10.1840490797546%,0,0,10764,2202,31.0000002384186%,1630
217,Vernon County,324,19.047619047619%,2,0,8872,2816,25%,1701
219,Warren County,274,14.3681174619822%,1,0,11046,1284,12.9999995231628%,1907
221,Washington County,410,23.1900452488688%,11,8,9894,1363,27.0000010728836%,1768
223,Wayne County,125,14.5011600928074%,3,0,7496,1212,33.0000013113022%,862
225,Webster County,381,13.025641025641%,0,1,12052,2346,20.9999993443489%,2925
227,Worth County,63,42.8571428571429%,0,0,1245,709,25%,147
229,Wright County,420,27.6134122287968%,0,1,7957,2141,34.9999994039536%,1521
510,St. Louis city,11403,40.6930269074299%,975,734,176354,113955,37.9999995231628%,28022
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Missouri Total Confirmed Cases 2005,,1693,,,,,,,
