"CBLS County-level Summary Data for CA, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
089,Shasta County,112,0.899999961256981%,0,0%,0,68810,5933,23.9999994635582%,12901
093,Siskiyou County,14,0.499999988824129%,0,0%,0,21947,5814,31.0000002384186%,2914
095,Solano County,1657,5.00000007450581%,15,0.899999961256981%,6,134513,15489,10.9999999403954%,33158
097,Sonoma County,1375,3.99999991059303%,15,1.09999999403954%,2,183153,27376,10.0000001490116%,34278
099,Stanislaus County,1053,2.09999997168779%,18,1.7000000923872%,6,150807,20527,21.9999998807907%,49078
101,Sutter County,329,3.79999987781048%,2,0.600000005215406%,1,28319,3852,23.0000004172325%,8718
103,Tehama County,234,4.69999983906746%,1,0.400000018998981%,1,23547,3425,30.0000011920929%,4930
107,Tulare County,1363,2.80000008642673%,15,1.09999999403954%,6,119639,15352,34.9999994039536%,48601
109,Tuolumne County,41,1.40000004321337%,0,0%,0,28336,2956,20.9999993443489%,2853
111,Ventura County,4361,6.3000001013279%,25,0.600000005215406%,8,251712,18864,12.9999995231628%,69561
113,Yolo County,218,1.40000004321337%,1,0.499999988824129%,0,61587,7075,17.0000001788139%,15314
115,Yuba County,162,2.09999997168779%,2,1.20000001043081%,0,22636,3299,28.999999165535%,7893
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 2,,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Total Confirmed Cases 2006,,,,1062,,,,,,
