"CBLS County-level Summary Data for MI, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
047,Emmet County,224,10.0000001490116%,0,0%,0,18554,5138,7.00000002980232%,2230
049,Genesee County,6558,18.8999995589256%,42,0.640439158279963%,21,183630,41934,21.9999998807907%,34669
051,Gladwin County,274,17.8000003099442%,0,0%,0,16828,2307,20.9999993443489%,1543
053,Gogebic County,217,26.8999993801117%,0,0%,0,10839,5859,23.0000004172325%,806
055,Grand Traverse County,630,10.4000002145767%,1,0.158730158730159%,1,34842,6214,5.99999986588955%,6076
057,Gratiot County,480,16.6999995708466%,2,0.416666666666667%,0,15516,6181,10.9999999403954%,2876
059,Hillsdale County,602,17.9000005125999%,4,0.664451827242525%,3,20189,7865,10.9999999403954%,3359
061,Houghton County,472,19.6999996900558%,1,0.211864406779661%,1,17748,9724,21.9999998807907%,2390
063,Huron County,249,12.9999995231628%,0,0%,0,20430,6836,14.0000000596046%,1911
065,Ingham County,5057,24.1999998688698%,28,0.553687957286929%,10,115056,29790,17.0000001788139%,20871
067,Ionia County,690,13.8999998569489%,6,0.869565217391304%,2,22006,8330,12.9999995231628%,4948
069,Iosco County,333,23.4999999403954%,1,0.3003003003003%,0,20432,4051,23.0000004172325%,1419
071,Iron County,205,35.8999997377396%,0,0%,0,8772,3902,23.9999994635582%,571
073,Isabella County,705,16.3000002503395%,1,0.141843971631206%,2,24528,4709,15.9999996423721%,4327
075,Jackson County,2459,20.2000007033348%,26,1.05734038226922%,13,62906,22439,15.0000005960464%,12203
077,Kalamazoo County,4280,22.6999998092651%,37,0.864485981308411%,16,99250,24386,14.0000000596046%,18863
079,Kalkaska County,190,14.4999995827675%,0,0%,0,10822,1643,15.0000005960464%,1312
081,Kent County,8768,15.8000007271767%,139,1.5853102189781%,91,224000,59935,11.9999997317791%,55522
083,Keweenaw County,20,13.8999998569489%,0,0%,0,2327,1278,15.0000005960464%,144
085,Lake County,94,13.6000007390976%,1,1.06382978723404%,0,13498,2040,30.0000011920929%,690
087,Lapeer County,758,12.7000004053116%,4,0.527704485488127%,3,32732,7252,5.99999986588955%,5990
089,Leelanau County,156,13.5000005364418%,0,0%,0,13297,2921,10.0000001490116%,1156
091,Lenawee County,1839,25.2000004053116%,5,0.271886895051658%,6,39769,15356,9.00000035762787%,7292
093,Livingston County,924,7.40000009536743%,0,0%,1,58919,8073,2.99999993294477%,12508
095,Luce County,93,26.3000011444092%,0,0%,0,4008,1201,23.0000004172325%,354
097,Mackinac County,134,22.3000004887581%,0,0%,0,9413,2641,12.9999995231628%,602
099,Macomb County,8781,14.4999995827675%,19,0.216376266939984%,4,320276,34757,7.00000002980232%,60618
101,Manistee County,296,20.2000007033348%,3,1.01351351351351%,0,14272,5130,17.0000001788139%,1466
103,Marquette County,565,14.9000003933907%,0,0%,1,32877,10723,15.9999996423721%,3800
105,Mason County,411,21.2999999523163%,2,0.48661800486618%,0,16063,5002,20.0000002980232%,1931
107,Mecosta County,414,15.5000001192093%,5,1.20772946859903%,1,19593,4313,23.0000004172325%,2675
109,Menominee County,268,18.299999833107%,2,0.746268656716418%,0,13639,5238,20.0000002980232%,1466
111,Midland County,698,12.6000002026558%,0,0%,0,33796,5703,11.9999997317791%,5560
113,Missaukee County,138,13.5000005364418%,0,0%,0,8621,1773,14.0000000596046%,1020
115,Monroe County,1781,16.5999993681908%,5,0.280741156653565%,2,56471,15961,9.00000035762787%,10702
117,Montcalm County,766,15.6000003218651%,4,0.522193211488251%,0,25900,7279,15.0000005960464%,4907
119,Montmorency County,109,20.9999993443489%,0,0%,0,9238,1699,15.9999996423721%,520
121,Muskegon County,3302,23.6000001430511%,45,1.36281041792853%,17,68556,20457,18.9999997615814%,13998
123,Newaygo County,595,15.7000005245209%,2,0.336134453781513%,0,23202,5270,18.0000007152557%,3783
125,Oakland County,13942,15.9999996423721%,53,0.380146320470521%,12,492006,78387,7.00000002980232%,87361
127,Oceana County,544,23.3999997377396%,2,0.367647058823529%,0,15009,4028,23.9999994635582%,2328
129,Ogemaw County,369,29.3999999761581%,1,0.2710027100271%,0,15404,2817,20.9999993443489%,1255
131,Ontonagon County,65,23.7000003457069%,0,0%,0,5404,2346,12.9999995231628%,274
133,Osceola County,201,11.599999666214%,0,0%,0,12853,3109,18.9999997615814%,1739
135,Oscoda County,114,21.6999992728233%,0,0%,0,8690,1594,18.0000007152557%,525
137,Otsego County,281,17.2000005841255%,0,0%,0,13375,1685,7.99999982118607%,1634
139,Ottawa County,2601,11.9999997317791%,13,0.499807766243752%,3,86856,15645,5.00000007450581%,21703
141,Presque Isle County,128,18.0999994277954%,1,0.78125%,0,9910,2739,15.0000005960464%,706
143,Roscommon County,320,26.1999994516373%,1,0.3125%,0,23109,3712,25.9999990463257%,1223
145,Saginaw County,3286,22.1000000834465%,39,1.18685331710286%,12,85505,25066,25.9999990463257%,14890
147,St. Clair County,1546,12.8000006079674%,3,0.19404915912031%,3,67107,19833,10.9999999403954%,12077
149,St. Joseph County,816,14.6999999880791%,6,0.735294117647059%,1,26503,9220,20.9999993443489%,5545
151,Sanilac County,706,22.8000000119209%,0,0%,0,21314,7388,14.0000000596046%,3100
153,Schoolcraft County,123,28.0000001192093%,0,0%,0,5700,1886,17.0000001788139%,440
155,Shiawassee County,989,19.4999992847443%,1,0.101112234580384%,2,29087,10452,11.9999997317791%,5075
157,Tuscola County,765,20.100000500679%,0,0%,1,23378,7675,10.0000001490116%,3810
159,Van Buren County,1278,20.2000007033348%,8,0.625978090766823%,1,33975,10003,17.0000001788139%,6328
161,Washtenaw County,2336,9.39999967813492%,5,0.214041095890411%,4,131069,25238,10.0000001490116%,24977
163,Wayne County,50750,32.4000000953674%,1178,2.32118226600985%,696,826145,317788,23.9999994635582%,156738
165,Wexford County,323,13.0999997258186%,1,0.309597523219814%,1,14872,3898,14.0000000596046%,2458
185,Unknown,n,,n,#VALUE!,n,,,,
999,Unknown,n,,n,#VALUE!,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Michigan 2008 Confirmed Cases,,1810,,,,,,,
