"CBLS County-level Summary Data for MI, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
151,Sanilac County,759,23.8000005483627%,2,0.263504611330698%,0,21314,7388,14.0000000596046%,3188
153,Schoolcraft County,129,29.1000008583069%,1,0.775193798449612%,0,5700,1886,17.0000001788139%,444
155,Shiawassee County,1046,20.4999998211861%,6,0.573613766730402%,1,29087,10452,11.9999997317791%,5108
157,Tuscola County,n,,n,#VALUE!,n,23378,7675,10.0000001490116%,3896
159,Van Buren County,1238,19.6999996900558%,10,0.807754442649435%,0,33975,10003,17.0000001788139%,6288
161,Washtenaw County,1911,7.59999975562096%,14,0.732600732600733%,4,131069,25238,10.0000001490116%,25220
163,Wayne County,43464,26.6999989748001%,1258,2.89434934658568%,800,826145,317788,23.9999994635582%,162617
165,Wexford County,365,15.0000005960464%,1,0.273972602739726%,1,14872,3898,14.0000000596046%,2429
999,Unknown,n,,n,#VALUE!,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Michigan 2007 Confirmed Cases,,1944,,,,,,,
