"CBLS County-level Summary Data for MI, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
079,Kalkaska County,143,11.1000001430511%,0,0%,0,10822,1643,15.0000005960464%,1286
081,Kent County,9962,18.0999994277954%,262,2.62999397711303%,139,224000,59935,11.9999997317791%,54903
083,Keweenaw County,27,24.7999995946884%,0,0%,0,2327,1278,15.0000005960464%,109
085,Lake County,154,23.6000001430511%,0,0%,0,13498,2040,30.0000011920929%,653
087,Lapeer County,691,10.700000077486%,1,0.144717800289436%,2,32732,7252,5.99999986588955%,6444
089,Leelanau County,91,7.90000036358833%,0,0%,0,13297,2921,10.0000001490116%,1155
091,Lenawee County,1094,15.0000005960464%,14,1.27970749542962%,5,39769,15356,9.00000035762787%,7284
093,Livingston County,768,6.10000006854534%,5,0.651041666666667%,1,58919,8073,2.99999993294477%,12638
095,Luce County,68,18.5000002384186%,0,0%,0,4008,1201,23.0000004172325%,368
097,Mackinac County,143,23.4999999403954%,0,0%,0,9413,2641,12.9999995231628%,609
099,Macomb County,6406,10.4999996721745%,18,0.280986575085857%,2,320276,34757,7.00000002980232%,60784
101,Manistee County,301,20.2000007033348%,3,0.996677740863787%,0,14272,5130,17.0000001788139%,1487
103,Marquette County,723,19.4999992847443%,5,0.691562932226833%,1,32877,10723,15.9999996423721%,3699
105,Mason County,244,13.1999999284744%,1,0.40983606557377%,0,16063,5002,20.0000002980232%,1855
107,Mecosta County,484,17.9000005125999%,1,0.206611570247934%,0,19593,4313,23.0000004172325%,2710
109,Menominee County,283,19.4999992847443%,2,0.706713780918728%,1,13639,5238,20.0000002980232%,1451
111,Midland County,390,6.70000016689301%,3,0.769230769230769%,1,33796,5703,11.9999997317791%,5851
113,Missaukee County,121,11.9999997317791%,0,0%,0,8621,1773,14.0000000596046%,1011
115,Monroe County,1411,13.1999999284744%,4,0.283486888731396%,2,56471,15961,9.00000035762787%,10655
117,Montcalm County,491,9.79999974370003%,3,0.610997963340122%,0,25900,7279,15.0000005960464%,5026
119,Montmorency County,59,10.9999999403954%,0,0%,0,9238,1699,15.9999996423721%,538
121,Muskegon County,3984,28.999999165535%,75,1.88253012048193%,27,68556,20457,18.9999997615814%,13732
123,Newaygo County,765,20.3999996185303%,1,0.130718954248366%,0,23202,5270,18.0000007152557%,3753
125,Oakland County,9015,9.79999974370003%,42,0.465890183028286%,3,492006,78387,7.00000002980232%,91825
127,Oceana County,506,21.4000001549721%,0,0%,0,15009,4028,23.9999994635582%,2366
129,Ogemaw County,265,20.2000007033348%,1,0.377358490566038%,0,15404,2817,20.9999993443489%,1314
131,Ontonagon County,76,25.900000333786%,0,0%,0,5404,2346,12.9999995231628%,294
133,Osceola County,244,13.7999996542931%,1,0.40983606557377%,1,12853,3109,18.9999997615814%,1762
135,Oscoda County,58,10.9999999403954%,0,0%,0,8690,1594,18.0000007152557%,528
137,Otsego County,163,9.7000002861023%,0,0%,0,13375,1685,7.99999982118607%,1678
139,Ottawa County,1713,7.99999982118607%,8,0.467016929363689%,3,86856,15645,5.00000007450581%,21296
141,Presque Isle County,103,13.7999996542931%,0,0%,0,9910,2739,15.0000005960464%,747
143,Roscommon County,139,10.700000077486%,0,0%,0,23109,3712,25.9999990463257%,1300
145,Saginaw County,2019,12.8999993205071%,27,1.33729569093611%,21,85505,25066,25.9999990463257%,15644
147,St. Clair County,1252,10.1000003516674%,11,0.878594249201278%,3,67107,19833,10.9999999403954%,12396
149,St. Joseph County,800,14.6999999880791%,11,1.375%,1,26503,9220,20.9999993443489%,5444
151,Sanilac County,707,22.8000000119209%,4,0.565770862800566%,0,21314,7388,14.0000000596046%,3107
153,Schoolcraft County,106,21.7999994754791%,0,0%,0,5700,1886,17.0000001788139%,487
155,Shiawassee County,1079,20.2000007033348%,6,0.556070435588508%,1,29087,10452,11.9999997317791%,5336
157,Tuscola County,898,22.5999996066093%,5,0.556792873051225%,1,23378,7675,10.0000001490116%,3975
159,Van Buren County,944,14.9000003933907%,4,0.423728813559322%,0,33975,10003,17.0000001788139%,6316
161,Washtenaw County,2253,9.00000035762787%,12,0.532623169107856%,2,131069,25238,10.0000001490116%,24980
163,Wayne County,48718,29.1999995708466%,1637,3.36015435773225%,1036,826145,317788,23.9999994635582%,166926
165,Wexford County,272,11.5000002086163%,4,1.47058823529412%,1,14872,3898,14.0000000596046%,2372
169,Unknown,,,,,,,,,
999,Unknown,16,,0,0%,0,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Michigan Total Confirmed Cases 2006,,2490,,,,,,,,
