"CBLS County-level Summary Data for OH, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
111,Monroe County,119,13.5000005364418%,2,1.7000000923872%,1,7212,2716,18.0000007152557%,882
113,Montgomery County,6405,15.2999997138977%,38,0.600000005215406%,25,248443,66917,18.0000007152557%,41854
115,Morgan County,230,22.9000002145767%,1,0.400000018998981%,1,7771,2705,33.0000013113022%,1003
117,Morrow County,193,7.40000009536743%,5,2.60000005364418%,2,12132,3789,15.9999996423721%,2597
119,Muskingum County,1956,30.5999994277954%,45,2.30000000447035%,11,35163,12609,23.0000004172325%,6399
121,Noble County,202,23.3999997377396%,1,0.499999988824129%,1,5480,2054,20.9999993443489%,864
123,Ottawa County,406,15.8999994397163%,3,0.700000021606684%,1,25532,7732,10.0000001490116%,2554
125,Paulding County,151,10.1999998092651%,1,0.700000021606684%,1,8478,2668,14.0000000596046%,1475
127,Perry County,519,18.6000004410744%,6,1.20000001043081%,1,13655,5256,18.0000007152557%,2790
129,Pickaway County,933,24.1999998688698%,3,0.300000002607703%,0,18596,5258,14.0000000596046%,3862
131,Pike County,302,13.1999999284744%,1,0.300000002607703%,0,11602,1935,28.999999165535%,2280
133,Portage County,1470,14.4999995827675%,14,0.999999977648258%,2,60096,13390,11.9999997317791%,10132
135,Preble County,330,10.9999999403954%,1,0.300000002607703%,1,17186,6155,7.99999982118607%,2997
137,Putnam County,328,11.2999998033047%,1,0.300000002607703%,0,12753,4643,9.00000035762787%,2914
139,Richland County,2167,23.3999997377396%,16,0.700000021606684%,8,53062,17835,18.0000007152557%,9243
141,Ross County,1340,24.5000004768372%,7,0.499999988824129%,2,29461,9133,18.0000007152557%,5465
143,Sandusky County,725,15.5000001192093%,4,0.600000005215406%,1,25253,11053,12.9999995231628%,4673
145,Scioto County,907,15.2999997138977%,1,0.100000004749745%,3,34054,12118,28.999999165535%,5915
147,Seneca County,1142,26.800000667572%,17,1.49999996647239%,3,23692,11662,12.9999995231628%,4255
149,Shelby County,818,18.9999997615814%,9,1.09999999403954%,2,18682,5985,10.9999999403954%,4300
151,Stark County,5518,20.3999996185303%,54,0.999999977648258%,12,157024,53354,17.0000001788139%,27026
153,Summit County,7432,18.7000006437302%,39,0.499999988824129%,83,230880,75585,17.0000001788139%,39774
155,Trumbull County,1921,13.6000007390976%,9,0.499999988824129%,1,95117,29730,18.9999997615814%,14120
157,Tuscarawas County,1056,15.0999993085861%,15,1.40000004321337%,2,38113,15438,15.0000005960464%,6972
159,Union County,338,7.90000036358833%,1,0.300000002607703%,0,15217,4512,5.00000007450581%,4300
161,Van Wert County,482,21.5000003576279%,1,0.20000000949949%,0,12363,5950,5.99999986588955%,2247
163,Vinton County,224,21.7999994754791%,2,0.899999961256981%,1,5653,1338,28.0000001192093%,1028
165,Warren County,1250,7.10000023245811%,1,0.100000004749745%,1,58692,7000,3.99999991059303%,17539
167,Washington County,628,15.5000001192093%,4,0.600000005215406%,9,27760,8233,18.9999997615814%,4053
169,Wayne County,1261,13.3000001311302%,7,0.600000005215406%,3,42324,12386,11.9999997317791%,9512
171,Williams County,746,27.0999997854233%,2,0.300000002607703%,3,16140,6143,7.00000002980232%,2748
173,Wood County,1682,20.100000500679%,5,0.300000002607703%,0,47468,12394,9.00000035762787%,8359
175,Wyandot County,263,15.2999997138977%,5,1.89999993890524%,0,9324,4480,5.99999986588955%,1719
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 2,,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 29,,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 47,,,,,,,,,
*# of Addresses where address state not in selected state: 0,# of Addresses where program state is not in selected state: 1,,,,,,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Ohio Confirmed Cases 2008,,2806,,,,,,,
