"CBLS County-level Summary Data for OH, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
107,Mercer County,347,8,0,0%,0,15875,5088,10.0000001490116%
109,Miami County,1180,58,8,0.700000021606684%,3,40554,14056,9.00000035762787%
111,Monroe County,157,5,3,1.89999993890524%,0,7212,2716,18.0000007152557%
113,Montgomery Coun,6502,159,40,0.600000005215406%,12,248443,66917,18.0000007152557%
115,Morgan County,159,8,0,0%,0,7771,2705,33.0000013113022%
117,Morrow County,301,9,2,0.700000021606684%,1,12132,3789,15.9999996423721%
119,Muskingum Count,1277,38,9,0.700000021606684%,4,35163,12609,23.0000004172325%
121,Noble County,223,9,0,0%,0,5480,2054,20.9999993443489%
123,Ottawa County,279,9,1,0.400000018998981%,0,25532,7732,10.0000001490116%
125,Paulding County,119,2,0,0%,0,8478,2668,14.0000000596046%
127,Perry County,470,10,1,0.20000000949949%,0,13655,5256,18.0000007152557%
129,Pickaway County,921,21,0,0%,0,18596,5258,14.0000000596046%
131,Pike County,219,5,0,0%,0,11602,1935,28.999999165535%
133,Portage County,1700,17,7,0.400000018998981%,4,60096,13390,11.9999997317791%
135,Preble County,362,8,2,0.600000005215406%,0,17186,6155,7.99999982118607%
137,Putnam County,234,5,0,0%,0,12753,4643,9.00000035762787%
139,Richland County,1598,104,18,1.09999999403954%,9,53062,17835,18.0000007152557%
141,Ross County,723,21,1,0.100000004749745%,1,29461,9133,18.0000007152557%
143,Sandusky County,698,27,7,0.999999977648258%,4,25253,11053,12.9999995231628%
145,Scioto County,718,83,1,0.100000004749745%,2,34054,12118,28.999999165535%
147,Seneca County,426,26,3,0.700000021606684%,1,23692,11662,12.9999995231628%
149,Shelby County,577,28,1,0.20000000949949%,0,18682,5985,10.9999999403954%
151,Stark County,3968,255,42,1.09999999403954%,12,157024,53354,17.0000001788139%
153,Summit County,6241,157,26,0.400000018998981%,15,230880,75585,17.0000001788139%
155,Trumbull County,1820,96,6,0.300000002607703%,4,95117,29730,18.9999997615814%
157,Tuscarawas Coun,1579,64,6,0.400000018998981%,3,38113,15438,15.0000005960464%
159,Union County,541,15,0,0%,0,15217,4512,5.00000007450581%
161,Van Wert County,342,18,5,1.49999996647239%,1,12363,5950,5.99999986588955%
163,Vinton County,139,6,0,0%,0,5653,1338,28.0000001192093%
165,Warren County,1795,46,3,0.20000000949949%,1,58692,7000,3.99999991059303%
167,Washington Coun,665,26,5,0.800000037997961%,2,27760,8233,18.9999997615814%
169,Wayne County,1141,37,5,0.400000018998981%,3,42324,12386,11.9999997317791%
171,Williams County,441,6,2,0.499999988824129%,0,16140,6143,7.00000002980232%
173,Wood County,1693,55,5,0.300000002607703%,1,47468,12394,9.00000035762787%
175,Wyandot County,253,20,2,0.800000037997961%,0,9324,4480,5.99999986588955%
*# of Addresses where address state not in selected state: 1579,# of Addresses where program state is not in selected state: 2,,,,,,,,
*# of Addresses where address state not in selected state: 1579,# of Addresses where program state is not in selected state: 3,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
