"CBLS County-level Summary Data for NC, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
045,Cleveland County,1832,25.0999987125397%,5,0.27292576419214%,2,40317,5951,21.9999998807907%,7290
047,Columbus County,1355,30.1999986171722%,8,0.590405904059041%,0,24060,3502,31.9999992847443%,4494
049,Craven County,2319,25.2999991178513%,3,0.129366106080207%,1,38150,4538,18.9999997615814%,9184
051,Cumberland County,3301,10.8000002801418%,6,0.181763102090276%,1,118425,7963,18.0000007152557%,30586
053,Currituck County,252,14.9000003933907%,0,0%,0,10687,819,17.0000001788139%,1688
055,Dare County,270,10.3000000119209%,0,0%,0,26671,1043,11.9999997317791%,2621
057,Davidson County,2393,19.9000000953674%,8,0.334308399498537%,1,62432,8650,14.0000000596046%,12049
059,Davie County,469,15.9999996423721%,2,0.426439232409382%,0,14953,2270,12.9999995231628%,2935
061,Duplin County,1459,29.899999499321%,4,0.274160383824537%,1,20520,3744,25%,4881
063,Durham County,5340,21.4000001549721%,17,0.318352059925094%,5,95452,11982,18.9999997615814%,24896
065,Edgecombe County,1150,26.3000011444092%,7,0.608695652173913%,2,24002,4107,33.0000013113022%,4366
067,Forsyth County,5781,19.4000005722046%,17,0.294066770454939%,5,133093,18461,17.0000001788139%,29788
069,Franklin County,950,20.2999994158745%,1,0.105263157894737%,0,20364,2713,18.0000007152557%,4685
071,Gaston County,2168,12.8000006079674%,7,0.322878228782288%,1,78842,13692,15.9999996423721%,16927
073,Gates County,171,21.9999998807907%,1,0.584795321637427%,0,4389,905,21.9999998807907%,777
075,Graham County,209,34.2000007629395%,0,0%,0,5084,709,25.9999990463257%,612
077,Granville County,754,18.4000000357628%,3,0.397877984084881%,0,17896,2589,17.0000001788139%,4101
079,Greene County,312,21.0999995470047%,0,0%,0,7368,1078,23.9999994635582%,1478
081,Guilford County,9498,25%,26,0.27374184038745%,8,180391,23822,15.9999996423721%,37965
083,Halifax County,1361,32.4999988079071%,13,0.955180014695077%,5,25309,4868,34.0000003576279%,4192
085,Harnett County,2501,25.4000008106232%,1,0.039984006397441%,3,38605,4527,18.9999997615814%,9837
087,Haywood County,816,22.6999998092651%,1,0.122549019607843%,1,28640,5032,23.0000004172325%,3596
089,Henderson County,1594,21.1999997496605%,4,0.250941028858218%,0,42996,5079,15.0000005960464%,7506
091,Hertford County,457,26.1000007390976%,0,0%,1,9724,1680,25%,1754
093,Hoke County,700,14.3999993801117%,3,0.428571428571429%,2,12518,862,20.0000002980232%,4869
095,Hyde County,94,29.8000007867813%,1,1.06382978723404%,0,3302,723,18.9999997615814%,315
097,Iredell County,1675,12.9999995231628%,1,0.0597014925373134%,0,51918,7548,10.9999999403954%,12845
099,Jackson County,602,24.5000004768372%,1,0.166112956810631%,0,19291,2282,17.0000001788139%,2460
101,Johnston County,2775,17.8000003099442%,3,0.108108108108108%,2,50196,6398,18.0000007152557%,15633
103,Jones County,190,33.3000004291534%,0,0%,0,4679,889,27.0000010728836%,570
105,Lee County,1511,27.0999997854233%,5,0.330906684315023%,0,19909,2208,20.9999993443489%,5578
107,Lenoir County,1605,35.1000010967255%,16,0.996884735202492%,5,27184,4263,25%,4576
109,Lincoln County,786,13.5000005364418%,3,0.381679389312977%,0,25717,3188,10.9999999403954%,5821
111,McDowell County,707,22.4000006914139%,1,0.141442715700141%,1,18377,3215,15.9999996423721%,3163
113,Macon County,627,27.9000014066696%,2,0.318979266347687%,1,20746,2157,18.0000007152557%,2244
115,Madison County,448,33.899998664856%,1,0.223214285714286%,0,9722,2072,18.0000007152557%,1322
117,Martin County,478,27.3999989032745%,2,0.418410041841004%,1,10930,2100,28.0000001192093%,1743
119,Mecklenburg County,11243,12.8999993205071%,4,0.0355776927866228%,1,292780,23306,11.9999997317791%,87218
121,Mitchell County,154,15.7000005245209%,0,0%,0,7919,1522,15.0000005960464%,984
123,Montgomery County,714,30.3000003099442%,4,0.560224089635854%,1,14145,1907,23.0000004172325%,2355
125,Moore County,1421,22.8000000119209%,4,0.281491907107671%,2,35151,4436,20.0000002980232%,6241
127,Nash County,2179,28.999999165535%,14,0.642496558054153%,1,37051,5371,17.0000001788139%,7513
129,New Hanover County,4458,30.3999990224838%,7,0.15702108568865%,3,79616,9943,17.0000001788139%,14655
131,Northampton County,474,34.0999990701675%,1,0.210970464135021%,0,10455,1979,31.0000002384186%,1389
133,Onslow County,3113,16.5999993681908%,0,0%,0,55726,3394,18.9999997615814%,18727
135,Orange County,1047,12.7000004053116%,6,0.573065902578797%,1,49289,5166,12.9999995231628%,8269
137,Pamlico County,308,46.9999998807907%,0,0%,0,6781,960,25%,656
139,Pasquotank County,842,24.4000002741814%,7,0.831353919239905%,2,14289,2793,33.0000013113022%,3447
141,Pender County,1010,27.9000014066696%,2,0.198019801980198%,1,20798,1549,23.9999994635582%,3615
143,Perquimans County,233,26.6000002622604%,1,0.429184549356223%,1,6043,1106,21.9999998807907%,875
145,Person County,651,23.1000006198883%,1,0.153609831029186%,1,15504,2490,18.0000007152557%,2818
147,Pitt County,2310,17.1000003814697%,13,0.562770562770563%,5,58408,5585,21.9999998807907%,13520
149,Polk County,172,16.5999993681908%,0,0%,0,9192,1779,7.99999982118607%,1036
151,Randolph County,2372,21.2999999523163%,8,0.337268128161889%,2,54422,7413,14.0000000596046%,11150
153,Richmond County,943,24.7999995946884%,3,0.31813361611877%,0,19886,3918,34.0000003576279%,3807
155,Robeson County,3126,25.2999991178513%,5,0.159948816378759%,2,47779,6142,33.0000013113022%,12359
157,Rockingham County,1375,20.9999993443489%,3,0.218181818181818%,0,40208,8726,18.0000007152557%,6555
159,Rowan County,1624,15.2999997138977%,3,0.184729064039409%,1,53980,10832,15.0000005960464%,10627
161,Rutherford County,960,20.6000000238419%,1,0.104166666666667%,1,29535,5119,20.0000002980232%,4653
163,Sampson County,1475,26.4999985694885%,4,0.271186440677966%,2,25142,4083,23.9999994635582%,5556
165,Scotland County,805,27.0000010728836%,4,0.496894409937888%,1,14693,1646,31.9999992847443%,2984
167,Stanly County,1210,27.0999997854233%,2,0.165289256198347%,0,24582,5261,15.0000005960464%,4469
169,Stokes County,647,21.8999996781349%,2,0.309119010819165%,1,19262,2812,10.9999999403954%,2961
171,Surry County,1225,22.5999996066093%,5,0.408163265306122%,0,31033,5397,17.0000001788139%,5421
173,Swain County,436,39.7000014781952%,1,0.229357798165138%,0,7105,890,28.999999165535%,1099
175,Transylvania County,317,17.7000001072884%,0,0%,0,15553,2273,11.9999997317791%,1789
177,Tyrrell County,127,48.3000010251999%,0,0%,0,2032,506,34.9999994039536%,263
179,Union County,2711,14.4999995827675%,5,0.184433788270011%,0,45695,4000,11.9999997317791%,18665
181,Vance County,832,20.9999993443489%,4,0.480769230769231%,0,18196,2337,31.9999992847443%,3963
183,Wake County,12022,14.6999999880791%,21,0.174679753784728%,6,258953,16747,9.00000035762787%,82042
185,Warren County,294,23.6000001430511%,4,1.36054421768707%,0,10548,1616,23.0000004172325%,1245
187,Washington County,328,31.700000166893%,1,0.304878048780488%,0,6174,1296,28.999999165535%,1035
189,Watauga County,622,26.6999989748001%,2,0.321543408360129%,0,23155,2360,15.9999996423721%,2333
191,Wayne County,3236,31.2999993562698%,6,0.185414091470952%,1,47313,5910,20.0000002980232%,10351
193,Wilkes County,714,14.8000001907349%,1,0.140056022408964%,1,29261,4234,15.9999996423721%,4813
195,Wilson County,1581,24.4000002741814%,10,0.632511068943706%,1,30729,5289,28.0000001192093%,6471
197,Yadkin County,585,20.4999998211861%,2,0.341880341880342%,0,15821,2755,12.9999995231628%,2853
199,Yancey County,283,24.5000004768372%,0,0%,0,9729,1631,21.9999998807907%,1157
999,Unknown,n,,n,,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,North Carolina Confirmed Cases 2008,,383,,,,,,,
