"CBLS County-level Summary Data for AL, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
073,Jefferson Count,3543,105,17,0.499999988824129%,4,288162,55497,21.9999998807907%
075,Lamar County,31,3,0,0%,0,7517,1259,25%
077,Lauderdale Coun,211,4,3,1.40000004321337%,0,40424,5365,20.0000002980232%
079,Lawrence County,129,1,0,0%,0,15009,1477,15.9999996423721%
081,Lee County,508,4,2,0.400000018998981%,1,50329,3235,17.0000001788139%
083,Limestone Count,235,1,1,0.400000018998981%,1,26897,2765,20.0000002980232%
085,Lowndes County,52,.,1,1.89999993890524%,2,5801,665,46.000000834465%
087,Macon County,100,1,1,0.999999977648258%,0,10627,1528,44.9999988079071%
089,Madison County,622,6,2,0.300000002607703%,0,120288,6696,17.0000001788139%
091,Marengo County,88,1,0,0%,0,10127,1340,37.0000004768372%
093,Marion County,107,4,0,0%,0,14416,1725,18.9999997615814%
095,Marshall County,148,2,1,0.700000021606684%,0,36331,4038,20.0000002980232%
097,Mobile County,2177,71,15,0.700000021606684%,1,165101,22458,28.999999165535%
099,Monroe County,13,.,0,0%,0,11343,1479,27.0000010728836%
101,Montgomery Coun,1477,25,5,0.300000002607703%,1,95437,13778,25.9999990463257%
103,Morgan County,615,8,2,0.300000002607703%,1,47388,4596,18.0000007152557%
105,Perry County,15,.,0,0%,0,5406,728,44.9999988079071%
107,Pickens County,70,4,0,0%,0,9520,1386,36.0000014305115%
109,Pike County,363,18,7,1.89999993890524%,1,13981,2024,37.0000004768372%
111,Randolph County,44,.,0,0%,0,10285,2224,21.9999998807907%
113,Russell County,129,1,0,0%,0,22831,2933,28.0000001192093%
115,St. Clair Count,12,.,0,0%,0,27303,2986,14.0000000596046%
117,Shelby County,707,11,0,0%,0,59302,2790,5.99999986588955%
119,Sumter County,90,4,1,1.09999999403954%,0,6953,876,47.9999989271164%
121,Talladega Count,216,7,3,1.40000004321337%,2,34469,5859,28.0000001192093%
123,Tallapoosa Coun,67,3,1,1.49999996647239%,0,20510,3483,25%
125,Tuscaloosa Coun,363,6,3,0.800000037997961%,0,71429,7440,21.9999998807907%
127,Walker County,37,2,2,5.40000014007092%,0,32417,4890,21.9999998807907%
129,Washington Coun,84,3,0,0%,0,8123,817,20.9999993443489%
131,Wilcox County,74,.,0,0%,0,6183,736,44.9999988079071%
133,Winston County,82,2,0,0%,0,12502,1214,21.9999998807907%
*# of Addresses where address state not in selected state: 24,# of Addresses where program state is not in selected state: 14,,,,,,,,
*# of Addresses where address state not in selected state: 24,# of Addresses where program state is not in selected state: 2,,,,,,,,
*# of Addresses where address state not in selected state: 24,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 24,# of Addresses where program state is not in selected state: 2,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
