"CBLS County-level Summary Data for PA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
105,Potter County,315,26.1000007390976%,7,2.22222222222222%,0,12159,4868,21.9999998807907%,1207
107,Schuylkill County,1424,16.0999998450279%,126,8.84831460674157%,28,67806,41921,12.9999995231628%,8860
109,Snyder County,226,7.99999982118607%,9,3.98230088495575%,5,14890,5284,12.9999995231628%,2827
111,Somerset County,503,11.4000000059605%,31,6.16302186878728%,7,37163,15926,20.0000002980232%,4428
113,Sullivan County,24,7.90000036358833%,1,4.16666666666667%,0,6017,2507,14.0000000596046%,304
115,Susquehanna County,247,9.6000000834465%,5,2.02429149797571%,1,21829,8496,15.9999996423721%,2578
117,Tioga County,312,12.3000003397465%,6,1.92307692307692%,0,19893,8072,18.0000007152557%,2539
119,Union County,380,15.1999995112419%,15,3.94736842105263%,4,14684,5089,7.99999982118607%,2496
121,Venango County,615,17.2999992966652%,31,5.04065040650407%,16,26904,12769,27.0000010728836%,3549
123,Warren County,334,13.6999994516373%,12,3.59281437125748%,4,23058,10043,15.9999996423721%,2434
125,Washington County,1052,8.29999968409538%,34,3.2319391634981%,18,87267,36963,15.0000005960464%,12740
127,Wayne County,501,16.5000006556511%,7,1.39720558882236%,0,30593,7741,15.9999996423721%,3042
129,Westmoreland County,1987,9.6000000834465%,42,2.11373930548566%,11,161058,58298,12.9999995231628%,20710
131,Wyoming County,130,7.00000002980232%,4,3.07692307692308%,1,12713,4561,17.0000001788139%,1863
133,York County,4141,13.3000001311302%,350,8.45206471866699%,139,156720,49221,9.00000035762787%,31208
999,Unknown,1382,.,24,1.73661360347323%,27,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Pennsylvania 2007 Confirmed Cases,,4156,,,,,,,
