"CBLS County-level Summary Data for PA, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
065,Jefferson Count,450,26,10,2.19999998807907%,4,22104,10208,20.0000002980232%
067,Juniata County,204,16,2,0.999999977648258%,2,10031,3532,14.0000000596046%
069,Lackawanna Coun,1897,234,54,2.80000008642673%,26,95362,53958,15.0000005960464%
071,Lancaster Count,3572,228,56,1.60000007599592%,33,179990,56775,11.9999997317791%
073,Lawrence County,529,21,6,1.09999999403954%,1,39635,18719,20.9999993443489%
075,Lebanon County,1110,87,32,2.8999999165535%,15,49320,19336,14.0000000596046%
077,Lehigh County,3338,224,42,1.30000002682209%,24,128910,46673,15.9999996423721%
079,Luzerne County,2912,231,65,2.19999998807907%,13,144686,77653,18.0000007152557%
081,Lycoming County,1093,79,26,2.40000002086163%,7,52464,23253,18.0000007152557%
083,Mc Kean County,713,59,14,1.99999995529652%,5,21644,11696,20.9999993443489%
085,Mercer County,1118,56,13,1.20000001043081%,2,49859,21076,20.0000002980232%
087,Mifflin County,434,27,3,0.700000021606684%,0,20745,8990,18.9999997615814%
089,Monroe County,828,30,10,1.20000001043081%,3,67581,9432,10.0000001490116%
091,Montgomery Coun,7421,300,49,0.700000021606684%,17,297434,85670,3.99999991059303%
093,Montour County,188,7,4,2.09999997168779%,0,7627,2840,15.0000005960464%
095,Northampton Cou,2091,95,31,1.49999996647239%,15,106710,42524,10.9999999403954%
097,Northumberland,967,79,19,1.99999995529652%,6,43164,25032,18.0000007152557%
099,Perry County,366,25,2,0.499999988824129%,3,18941,6188,10.9999999403954%
101,Philadelphia Co,36946,3133,338,0.899999961256981%,233,661958,386382,31.9999992847443%
103,Pike County,504,24,3,0.600000005215406%,0,34681,3662,9.00000035762787%
105,Potter County,314,12,1,0.300000002607703%,1,12159,4868,21.9999998807907%
107,Schuylkill Coun,1481,185,48,3.20000015199184%,26,67806,41921,12.9999995231628%
109,Snyder County,331,19,2,0.600000005215406%,2,14890,5284,12.9999995231628%
111,Somerset County,521,15,4,0.800000037997961%,1,37163,15926,20.0000002980232%
113,Sullivan County,32,2,1,3.09999994933605%,0,6017,2507,14.0000000596046%
115,Susquehanna Cou,269,6,1,0.400000018998981%,0,21829,8496,15.9999996423721%
117,Tioga County,384,21,3,0.800000037997961%,2,19893,8072,18.0000007152557%
119,Union County,308,19,6,1.89999993890524%,2,14684,5089,7.99999982118607%
121,Venango County,439,50,8,1.79999992251396%,2,26904,12769,27.0000010728836%
123,Warren County,460,70,21,4.6000000089407%,3,23058,10043,15.9999996423721%
125,Washington Coun,1677,94,19,1.09999999403954%,9,87267,36963,15.0000005960464%
127,Wayne County,387,24,9,2.30000000447035%,0,30593,7741,15.9999996423721%
129,Westmoreland Co,2719,142,37,1.40000004321337%,12,161058,58298,12.9999995231628%
131,Wyoming County,91,6,2,2.19999998807907%,2,12713,4561,17.0000001788139%
133,York County,3412,277,74,2.19999998807907%,97,156720,49221,9.00000035762787%
*# of Addresses where address state not in selected state: 374,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 374,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 374,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 374,# of Addresses where program state is not in selected state: 429,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
