"CBLS County-level Summary Data for PA, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
105,Potter County,262,22,3,1.09999999403954%,3,12159,4868,21.9999998807907%
107,Schuylkill Coun,1703,188,60,3.50000001490116%,36,67806,41921,12.9999995231628%
109,Snyder County,294,17,8,2.70000007003546%,3,14890,5284,12.9999995231628%
111,Somerset County,532,32,8,1.49999996647239%,2,37163,15926,20.0000002980232%
113,Sullivan County,27,3,0,0%,0,6017,2507,14.0000000596046%
115,Susquehanna Cou,243,8,4,1.60000007599592%,0,21829,8496,15.9999996423721%
117,Tioga County,337,26,0,0%,2,19893,8072,18.0000007152557%
119,Union County,376,21,5,1.30000002682209%,4,14684,5089,7.99999982118607%
121,Venango County,456,42,8,1.79999992251396%,4,26904,12769,27.0000010728836%
123,Warren County,349,40,17,4.89999987185001%,5,23058,10043,15.9999996423721%
125,Washington Coun,1321,107,28,2.09999997168779%,11,87267,36963,15.0000005960464%
127,Wayne County,358,23,6,1.7000000923872%,2,30593,7741,15.9999996423721%
129,Westmoreland Co,2204,126,31,1.40000004321337%,18,161058,58298,12.9999995231628%
131,Wyoming County,133,9,0,0%,1,12713,4561,17.0000001788139%
133,York County,3576,395,130,3.59999984502792%,148,156720,49221,9.00000035762787%
*# of Addresses where address state not in selected state: 83,# of Addresses where program state is not in selected state: 8,,,,,,,,
*# of Addresses where address state not in selected state: 83,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 83,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
