"CBLS County-level Summary Data for OK, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
071,Kay County,1020,33,37,3.59999984502792%,5,21804,7454,28.999999165535%
073,Kingfisher Coun,248,2,1,0.400000018998981%,0,5879,1468,18.9999997615814%
075,Kiowa County,247,6,0,0%,1,5304,2290,27.0000010728836%
077,Latimer County,139,4,0,0%,0,4709,721,38.9999985694885%
079,Le Flore County,740,15,3,0.400000018998981%,2,20142,3424,25.9999990463257%
081,Lincoln County,496,12,3,0.600000005215406%,0,13712,2994,21.9999998807907%
083,Logan County,424,16,0,0%,0,13906,3290,15.9999996423721%
085,Love County,207,2,0,0%,0,4066,566,18.0000007152557%
087,McClain County,254,2,2,0.800000037997961%,0,11189,1643,17.0000001788139%
089,McCurtain Count,584,12,4,0.700000021606684%,0,15427,1945,37.0000004768372%
091,McIntosh County,219,5,0,0%,0,12640,1089,28.0000001192093%
093,Major County,67,4,0,0%,0,3540,1105,25.9999990463257%
095,Marshall County,319,10,0,0%,0,8517,787,27.0000010728836%
097,Mayes County,424,13,1,0.20000000949949%,1,17423,2544,23.0000004172325%
099,Murray County,261,5,0,0%,0,6479,1311,20.0000002980232%
101,Muskogee County,1235,41,10,0.800000037997961%,2,29575,6966,31.0000002384186%
103,Noble County,125,9,2,1.60000007599592%,0,5082,1372,20.0000002980232%
105,Nowata County,59,1,0,0%,0,4705,1391,20.9999993443489%
107,Okfuskee County,145,3,3,2.09999997168779%,0,5114,1554,33.0000013113022%
109,Oklahoma County,7862,149,24,0.300000002607703%,7,295020,49569,25%
111,Okmulgee County,611,19,8,1.30000002682209%,3,17316,5183,28.0000001192093%
113,Osage County,325,8,2,0.600000005215406%,0,18826,4530,20.9999993443489%
115,Ottawa County,712,25,1,0.100000004749745%,0,14842,4169,25.9999990463257%
117,Pawnee County,291,8,2,0.700000021606684%,0,7464,1814,21.9999998807907%
119,Payne County,635,15,2,0.300000002607703%,0,29326,5413,20.0000002980232%
121,Pittsburg Count,617,13,1,0.20000000949949%,0,21520,4491,27.0000010728836%
123,Pontotoc County,665,15,3,0.499999988824129%,0,15575,3326,27.0000010728836%
125,Pottawatomie Co,998,21,3,0.300000002607703%,0,27302,5967,23.0000004172325%
127,Pushmataha Coun,240,9,1,0.400000018998981%,0,5795,851,34.0000003576279%
129,Roger Mills Cou,29,1,0,0%,0,1749,630,23.0000004172325%
131,Rogers County,424,7,1,0.20000000949949%,0,27476,2544,10.9999999403954%
133,Seminole County,460,20,7,1.49999996647239%,2,11146,3113,33.0000013113022%
135,Sequoyah County,372,3,0,0%,0,16940,1484,27.0000010728836%
137,Stephens County,386,5,4,0.999999977648258%,0,19854,3509,23.9999994635582%
139,Texas County,422,.,2,0.499999988824129%,1,8014,1717,20.0000002980232%
141,Tillman County,292,7,1,0.300000002607703%,1,4342,1872,37.9999995231628%
143,Tulsa County,5553,111,13,0.20000000949949%,0,243953,37585,18.0000007152557%
145,Wagoner County,268,2,0,0%,0,23174,1716,14.0000000596046%
147,Washington Coun,272,4,4,1.49999996647239%,0,22250,5020,23.0000004172325%
149,Washita County,154,7,2,1.30000002682209%,0,5452,1754,25.9999990463257%
151,Woods County,73,1,0,0%,0,4492,1880,11.9999997317791%
153,Woodward County,222,4,1,0.499999988824129%,0,8341,1807,15.0000005960464%
*# of Addresses where address state not in selected state: 4,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
