"CBLS County-level Summary Data for IL, 2014",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Total Confirmed BLL ?10 µg/dL,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
101,Lawrence County,234,10,2,0.899999961256981%,3,7014,3076,21.9999998807907%
103,Lee County,161,7,2,1.20000001043081%,1,14310,6703,10.0000001490116%
105,Livingston Coun,544,25,4,0.700000021606684%,0,15297,6835,12.9999995231628%
107,Logan County,382,8,3,0.800000037997961%,1,11872,5124,10.9999999403954%
109,McDonough Count,256,15,5,1.99999995529652%,0,13289,5203,28.0000001192093%
111,McHenry County,1762,57,5,0.300000002607703%,0,92908,14518,3.99999991059303%
113,McLean County,2934,91,16,0.499999988824129%,5,59972,14738,7.99999982118607%
115,Macon County,1938,102,19,0.999999977648258%,9,50241,16317,23.0000004172325%
117,Macoupin County,669,49,5,0.700000021606684%,1,21097,8937,15.0000005960464%
119,Madison County,3514,103,17,0.499999988824129%,5,108942,32272,14.0000000596046%
121,Marion County,764,24,15,1.99999995529652%,0,18022,6094,20.9999993443489%
123,Marshall County,208,22,2,0.999999977648258%,2,5914,2723,9.00000035762787%
125,Mason County,308,23,3,0.999999977648258%,1,7033,3233,18.0000007152557%
127,Massac County,154,9,1,0.600000005215406%,0,6951,2197,17.0000001788139%
129,Menard County,125,5,0,0%,2,5285,1717,11.9999997317791%
131,Mercer County,254,22,0,0%,1,7109,3451,9.00000035762787%
133,Monroe County,339,26,0,0%,0,10749,2485,5.00000007450581%
135,Montgomery Coun,458,23,3,0.700000021606684%,1,12525,5918,27.0000010728836%
137,Morgan County,718,53,12,1.7000000923872%,3,15291,5806,14.0000000596046%
139,Moultrie County,191,10,0,0%,1,5743,2143,10.0000001490116%
141,Ogle County,394,11,4,0.999999977648258%,0,20420,7646,10.0000001490116%
143,Peoria County,4000,405,48,1.20000001043081%,29,78204,26520,23.0000004172325%
145,Perry County,327,6,1,0.300000002607703%,0,9457,3565,20.9999993443489%
147,Piatt County,168,4,2,1.20000001043081%,0,6798,2685,5.99999986588955%
149,Pike County,275,16,1,0.400000018998981%,0,8011,3762,12.9999995231628%
151,Pope County,27,1,0,0%,0,2351,733,20.9999993443489%
153,Pulaski County,48,2,3,6.3000001013279%,1,3353,1178,37.0000004768372%
155,Putnam County,41,1,0,0%,0,2888,998,7.00000002980232%
157,Randolph County,349,14,2,0.600000005215406%,1,13328,4769,18.9999997615814%
159,Richland County,121,5,3,2.5000000372529%,0,7468,2584,23.0000004172325%
161,Rock Island Cou,4188,380,47,1.09999999403954%,14,64489,25631,20.9999993443489%
163,St. Clair Count,5826,288,27,0.499999988824129%,10,104446,26048,23.9999994635582%
165,Saline County,536,16,7,1.30000002682209%,1,12360,4620,20.0000002980232%
167,Sangamon County,2887,150,23,0.800000037997961%,2,85459,22747,15.9999996423721%
169,Schuyler County,70,3,1,1.40000004321337%,1,3304,1429,7.99999982118607%
171,Scott County,88,6,0,0%,0,2464,1136,14.0000000596046%
173,Shelby County,290,6,1,0.300000002607703%,1,10060,4033,15.0000005960464%
175,Stark County,159,13,1,0.600000005215406%,1,2725,1622,10.9999999403954%
177,Stephenson Coun,899,106,27,2.99999993294477%,7,21713,9906,17.0000001788139%
179,Tazewell County,2081,67,10,0.499999988824129%,3,52973,13855,9.00000035762787%
181,Union County,183,7,1,0.499999988824129%,1,7894,2817,25.9999990463257%
183,Vermilion Count,1499,55,13,0.899999961256981%,3,36349,15704,23.0000004172325%
185,Wabash County,203,17,4,1.99999995529652%,2,5758,2289,25.9999990463257%
187,Warren County,347,22,10,2.8999999165535%,2,7787,4277,14.0000000596046%
189,Washington Coun,120,2,0,0%,0,6385,2413,7.00000002980232%
191,Wayne County,247,18,2,0.800000037997961%,0,7950,2773,20.0000002980232%
193,White County,235,15,2,0.899999961256981%,0,7393,2675,25%
195,Whiteside Count,1149,35,8,0.700000021606684%,1,25025,10135,15.9999996423721%
197,Will County,9555,253,25,0.300000002607703%,4,175524,25200,5.99999986588955%
199,Williamson Coun,512,17,2,0.400000018998981%,0,27703,8474,23.9999994635582%
201,Winnebago Count,5492,260,61,1.09999999403954%,14,114404,30628,15.0000005960464%
203,Woodford County,522,12,5,0.999999977648258%,0,13487,4114,5.99999986588955%
*# of Addresses where address state not in selected state: 7,# of Addresses where program state is not in selected state: 2,,,,,,,,
*# of Addresses where address state not in selected state: 7,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2010-2014",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
