"CBLS County-level Summary Data for TX, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
225,Houston County,228,14.8000001907349%,1,0.43859649122807%,1,10730,1609,28.0000001192093%,1543
227,Howard County,120,4.39999997615814%,0,0%,0,13589,2956,30.0000011920929%,2735
229,Hudspeth County,68,30.5999994277954%,0,0%,0,1471,236,40.9999996423721%,222
231,Hunt County,602,8.79999995231628%,5,0.830564784053156%,1,32490,4074,15.9999996423721%,6853
233,Hutchinson County,182,10.3000000119209%,0,0%,0,10871,2437,18.9999997615814%,1774
235,Irion County,13,17.1000003814697%,0,0%,0,914,241,10.0000001490116%,76
237,Jack County,25,4.50000017881393%,0,0%,0,3668,1011,18.0000007152557%,551
239,Jackson County,94,7.90000036358833%,0,0%,0,6545,1332,20.0000002980232%,1185
241,Jasper County,194,7.10000023245811%,0,0%,1,16576,1865,23.9999994635582%,2733
243,Jeff Davis County,7,5.70000000298023%,0,0%,0,1420,450,15.9999996423721%,122
245,Jefferson County,2670,13.400000333786%,4,0.149812734082397%,8,102080,20162,27.0000010728836%,19958
247,Jim Hogg County,75,15.2999997138977%,0,0%,0,2308,435,37.0000004768372%,489
249,Jim Wells County,930,23.8000005483627%,4,0.43010752688172%,2,14819,1748,31.9999992847443%,3911
251,Johnson County,921,7.00000002980232%,1,0.1085776330076%,5,46269,4557,10.9999999403954%,13206
253,Jones County,65,6.10000006854534%,0,0%,1,7236,2196,25%,1073
255,Karnes County,116,10.8999997377396%,0,0%,0,5479,1515,38.9999985694885%,1063
257,Kaufman County,706,7.29999989271164%,3,0.424929178470255%,4,26133,2701,12.9999995231628%,9617
259,Kendall County,84,3.29999998211861%,0,0%,0,9609,1248,18.0000007152557%,2519
263,Kent County,n,,n,#VALUE!,n,551,164,20.0000002980232%,44
265,Kerr County,280,7.99999982118607%,1,0.357142857142857%,1,20228,2572,25%,3483
267,Kimble County,58,20.2000007033348%,1,1.72413793103448%,2,2996,707,30.0000011920929%,287
271,Kinney County,14,6.70000016689301%,0,0%,0,1907,427,31.9999992847443%,210
273,Kleberg County,671,23.8000005483627%,2,0.29806259314456%,3,12743,2035,36.0000014305115%,2816
275,Knox County,40,17.0000001788139%,0,0%,0,2129,689,43.0000007152557%,235
277,Lamar County,583,14.6999999880791%,1,0.171526586620926%,4,21113,3521,25.9999990463257%,3956
279,Lamb County,172,13.1999999284744%,0,0%,1,6294,1612,36.0000014305115%,1304
281,Lampasas County,100,6.40000030398369%,0,0%,1,7601,1538,20.0000002980232%,1566
283,La Salle County,34,6.40000030398369%,0,0%,0,2436,536,41.9999986886978%,530
285,Lavaca County,228,15.8999994397163%,2,0.87719298245614%,1,9657,2754,15.9999996423721%,1431
287,Lee County,96,7.80000016093254%,0,0%,0,6851,1094,15.0000005960464%,1232
289,Leon County,118,9.0999998152256%,0,0%,0,8299,1005,20.9999993443489%,1293
291,Liberty County,767,11.8000000715256%,1,0.130378096479791%,1,26359,2390,17.0000001788139%,6486
293,Limestone County,155,9.0999998152256%,3,1.93548387096774%,2,9725,1985,23.9999994635582%,1711
295,Lipscomb County,5,1.89999993890524%,0,0%,0,1541,593,23.0000004172325%,258
297,Live Oak County,64,10.0000001490116%,0,0%,0,6196,683,30.0000011920929%,638
299,Llano County,39,3.59999984502792%,0,0%,0,11829,844,15.0000005960464%,1072
303,Lubbock County,2211,9.00000035762787%,2,0.0904568068747173%,7,100595,9422,25%,24538
305,Lynn County,29,5.99999986588955%,0,0%,0,2671,693,28.0000001192093%,485
307,McCulloch County,50,8.10000002384186%,0,0%,1,4184,1491,41.9999986886978%,620
309,McLennan County,3457,16.7999997735024%,17,0.491755857680069%,15,84795,14360,25%,20536
311,McMullen County,n,,n,#VALUE!,n,587,95,47.9999989271164%,41
313,Madison County,130,13.6999994516373%,0,0%,0,4797,562,23.9999994635582%,951
315,Marion County,92,14.8000001907349%,0,0%,0,6384,649,33.0000013113022%,620
317,Martin County,20,4.6000000089407%,0,0%,1,1898,278,28.0000001192093%,436
319,Mason County,18,7.69999995827675%,1,5.55555555555556%,0,2372,1090,25%,234
321,Matagorda County,598,18.5000002384186%,1,0.167224080267559%,1,18611,2238,31.9999992847443%,3234
323,Maverick County,1323,21.2999999523163%,0,0%,6,14889,998,37.0000004768372%,6215
325,Medina County,230,6.1999998986721%,0,0%,2,14826,2271,20.9999993443489%,3699
327,Menard County,18,15.8999994397163%,0,0%,0,1607,634,33.0000013113022%,113
329,Midland County,1377,10.8000002801418%,2,0.145243282498184%,2,48060,3227,18.9999997615814%,12791
331,Milam County,285,13.5000005364418%,2,0.701754385964912%,4,10866,2208,20.0000002980232%,2109
333,Mills County,8,2.5000000372529%,0,0%,0,2691,789,23.0000004172325%,316
335,Mitchell County,50,8.60000029206276%,1,2%,0,4168,1178,25.9999990463257%,580
337,Montague County,65,4.10000011324883%,0,0%,0,9862,2064,23.0000004172325%,1591
339,Montgomery County,1994,5.09999990463257%,3,0.150451354062187%,5,112770,2383,12.9999995231628%,39305
341,Moore County,178,7.40000009536743%,1,0.561797752808989%,0,7478,1185,18.9999997615814%,2417
343,Morris County,147,14.8000001907349%,0,0%,1,6017,787,34.9999994039536%,991
345,Motley County,9,10.9999999403954%,0,0%,0,839,337,28.999999165535%,82
347,Nacogdoches County,730,12.7000004053116%,6,0.821917808219178%,2,25051,3023,28.0000001192093%,5742
349,Navarro County,631,15.1999995112419%,3,0.475435816164818%,2,18449,3480,25.9999990463257%,4164
351,Newton County,53,6.70000016689301%,1,1.88679245283019%,2,7331,786,31.0000002384186%,793
353,Nolan County,139,10.0000001490116%,0,0%,1,7112,2264,34.0000003576279%,1389
355,Nueces County,2929,9.79999974370003%,3,0.102424035506999%,10,123041,16719,25.9999990463257%,29866
357,Ochiltree County,113,10.4999996721745%,0,0%,0,3769,720,18.9999997615814%,1078
359,Oldham County,n,,n,#VALUE!,n,815,248,33.0000013113022%,137
361,Orange County,744,11.5000002086163%,0,0%,2,34781,3843,23.0000004172325%,6447
363,Palo Pinto County,196,8.29999968409538%,0,0%,1,14102,2963,23.9999994635582%,2364
365,Panola County,206,11.2999998033047%,0,0%,1,10524,1531,18.0000007152557%,1816
367,Parker County,306,3.59999984502792%,3,0.980392156862745%,1,34084,3160,10.9999999403954%,8478
369,Parmer County,78,8.90000015497208%,1,1.28205128205128%,1,3732,724,21.9999998807907%,874
371,Pecos County,110,7.80000016093254%,0,0%,0,6338,1066,28.0000001192093%,1417
373,Polk County,356,10.9999999403954%,0,0%,0,21177,1301,27.0000010728836%,3244
375,Potter County,2014,15.1999995112419%,10,0.496524329692155%,6,44598,11418,28.0000001192093%,13249
377,Presidio County,161,19.4999992847443%,1,0.62111801242236%,0,3299,874,43.0000007152557%,824
379,Rains County,24,3.4000001847744%,0,0%,0,4523,365,18.9999997615814%,712
381,Randall County,44,0.499999988824129%,1,2.27272727272727%,0,43261,3196,10.0000001490116%,9292
383,Reagan County,70,23.2999995350838%,0,0%,0,1452,255,7.99999982118607%,300
385,Real County,42,22.5999996066093%,1,2.38095238095238%,1,2007,344,31.9999992847443%,186
387,Red River County,137,16.4000004529953%,1,0.72992700729927%,1,6916,1404,28.0000001192093%,833
389,Reeves County,222,24.4000002741814%,0,0%,0,5043,884,37.9999995231628%,911
391,Refugio County,57,11.2000003457069%,0,0%,0,3669,1007,25%,508
393,Roberts County,n,,n,#VALUE!,n,449,205,7.99999982118607%,71
395,Robertson County,141,10.700000077486%,1,0.709219858156028%,1,7874,1582,33.0000013113022%,1323
397,Rockwall County,289,3.90000008046627%,0,0%,0,15351,566,5.99999986588955%,7428
399,Runnels County,95,11.8000000715256%,0,0%,1,5400,2048,25.9999990463257%,802
401,Rusk County,372,9.39999967813492%,3,0.806451612903226%,2,19867,3732,21.9999998807907%,3951
403,Sabine County,44,6.89999982714653%,0,0%,0,7659,780,23.0000004172325%,636
405,San Augustine County,66,10.8000002801418%,1,1.51515151515152%,0,5356,648,30.0000011920929%,613
407,San Jacinto County,94,5.70000000298023%,0,0%,1,11520,651,25.9999990463257%,1655
409,San Patricio County,821,12.2000001370907%,4,0.48721071863581%,2,24864,2782,23.9999994635582%,6726
411,San Saba County,19,4.80000004172325%,0,0%,1,2951,1008,27.0000010728836%,392
413,Schleicher County,26,10.4000002145767%,0,0%,0,1371,365,33.0000013113022%,249
415,Scurry County,105,7.50000029802322%,0,0%,0,7112,1269,23.9999994635582%,1396
417,Shackelford County,15,7.29999989271164%,0,0%,0,1613,611,20.9999993443489%,206
419,Shelby County,266,11.1000001430511%,0,0%,0,11955,2026,23.0000004172325%,2392
421,Sherman County,10,4.30000014603138%,0,0%,0,1275,320,20.9999993443489%,231
425,Somervell County,35,5.90000003576279%,0,0%,0,2750,382,10.9999999403954%,596
427,Starr County,1425,16.4000004529953%,3,0.210526315789474%,3,17589,892,62.0000004768372%,8665
429,Stephens County,33,3.99999991059303%,1,3.03030303030303%,0,4893,1517,27.0000010728836%,830
431,Sterling County,5,9.0999998152256%,0,0%,0,633,185,28.0000001192093%,55
433,Stonewall County,n,,n,#VALUE!,n,936,251,25%,126
435,Sutton County,39,9.79999974370003%,0,0%,0,1998,456,25.9999990463257%,397
437,Swisher County,18,2.5000000372529%,0,0%,0,3315,808,28.999999165535%,721
439,Tarrant County,15460,8.69999974966049%,37,0.239327296248383%,36,565830,51478,15.0000005960464%,178159
441,Taylor County,992,8.10000002384186%,4,0.403225806451613%,2,52056,8986,23.0000004172325%,12176
443,Terrell County,n,,n,#VALUE!,n,991,406,46.9999998807907%,53
445,Terry County,70,6.1999998986721%,0,0%,0,5087,766,46.9999998807907%,1129
447,Throckmorton County,n,,n,#VALUE!,n,1066,506,27.0000010728836%,75
449,Titus County,550,16.2000000476837%,1,0.181818181818182%,1,10675,1080,27.0000010728836%,3398
451,Tom Green County,1293,13.3000001311302%,5,0.386697602474865%,4,43916,7010,23.0000004172325%,9753
453,Travis County,11336,11.599999666214%,13,0.114678899082569%,18,335881,23484,15.0000005960464%,97318
455,Trinity County,218,21.6000005602837%,1,0.458715596330275%,2,8141,992,27.0000010728836%,1007
457,Tyler County,215,14.6999999880791%,0,0%,0,10419,1281,21.9999998807907%,1466
459,Upshur County,231,7.50000029802322%,1,0.432900432900433%,2,14930,1864,18.9999997615814%,3073
461,Upton County,21,7.59999975562096%,0,0%,0,1609,312,31.0000002384186%,275
463,Uvalde County,318,11.9999997317791%,0,0%,1,10166,1954,40.0000005960465%,2655
465,Val Verde County,170,3.20000015199184%,1,0.588235294117647%,1,16288,1914,31.0000002384186%,5339
467,Van Zandt County,333,8.69999974966049%,0,0%,2,20896,2004,15.0000005960464%,3815
469,Victoria County,862,10.5999998748302%,2,0.232018561484919%,1,32945,3896,18.9999997615814%,8163
471,Walker County,366,10.0000001490116%,1,0.273224043715847%,0,21099,1430,23.0000004172325%,3649
473,Waller County,188,5.70000000298023%,1,0.531914893617021%,0,11955,1096,21.9999998807907%,3311
477,Washington County,203,7.99999982118607%,2,0.985221674876847%,2,13241,2420,15.0000005960464%,2547
479,Webb County,3477,10.0000001490116%,12,0.345125107851596%,10,55206,5023,40.0000005960465%,34926
481,Wharton County,641,16.6999995708466%,3,0.46801872074883%,1,16606,3403,23.0000004172325%,3836
483,Wheeler County,28,7.00000002980232%,0,0%,0,2687,1068,18.9999997615814%,402
485,Wichita County,986,8.79999995231628%,6,0.608519269776876%,2,53304,11148,20.9999993443489%,11159
487,Wilbarger County,113,8.79999995231628%,1,0.884955752212389%,0,6371,2385,20.9999993443489%,1277
489,Willacy County,588,26.6999989748001%,1,0.170068027210884%,2,6727,1244,40.0000005960465%,2205
491,Williamson County,3345,8.50000008940697%,3,0.0896860986547085%,3,90325,5071,5.99999986588955%,39195
493,Wilson County,236,7.40000009536743%,0,0%,0,12110,1337,11.9999997317791%,3199
495,Winkler County,51,7.59999975562096%,1,1.96078431372549%,0,3214,513,21.9999998807907%,670
497,Wise County,266,5.90000003576279%,0,0%,2,19242,2165,14.0000000596046%,4538
499,Wood County,360,12.3999997973442%,0,0%,1,17939,2302,23.9999994635582%,2897
501,Yoakum County,8,0.999999977648258%,0,0%,1,2974,247,23.9999994635582%,783
503,Young County,158,11.2999998033047%,0,0%,1,8504,2171,25.9999990463257%,1401
505,Zapata County,233,13.0999997258186%,0,0%,0,6167,310,50%,1784
507,Zavala County,275,20.9999993443489%,0,0%,0,4075,548,47.9999989271164%,1310
999,Unknown,n,,n,,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,Texas Confirmed Cases 2008,,690,,,,,,,
